requirement_id,final_applicability,final_verdict,final_pdf_pages,final_evidence_validity,final_rationale,final_missing_items,decision_basis,adjudicator_role,adjudication_version
"GRI 2-17-a","applicable","unknown","[]","none","报告第13页的培训对象未明确包含董事会或最高治理机构成员，无法确认已披露其可持续发展能力建设措施。","[""最高治理机构成员的可持续发展能力建设措施""]","product_method_adjudication","product_method_owner","envision-result-v1.1"
"GRI 2-20-b","undetermined","unknown","[]","none","该要求以利益相关方对薪酬政策和建议进行表决为适用前提，公开报告不能确认该企业事实。","[""企业是否存在适用的利益相关方薪酬表决""]","requires_company_confirmation","product_method_owner","envision-result-v1.1"
"GRI 2-22-a","applicable","disclosed","[4,9]","valid","第4页包含可持续发展声明，第9页确认声明签署人为远景能源首席执行官，两页组合满足签署主体和声明内容证据。","[]","product_method_adjudication","product_method_owner","envision-result-v1.1"
"GRI 2-23-d","applicable","unknown","[]","none","报告列示了政策和监督安排，但未逐项披露每项政策承诺的批准层级。","[""每项政策承诺的批准层级""]","product_method_adjudication","product_method_owner","envision-result-v1.1"
"GRI 201-1-b","undetermined","unknown","[]","none","该要求以影响是否重大为适用前提，公开报告无法确认重大性触发条件。","[""企业对该影响重大性的确认""]","requires_company_confirmation","product_method_owner","envision-result-v1.1"
"GRI 203-2-a","applicable","partially_disclosed","[4,12,42,43,44]","partially_valid","报告披露了显著的正向间接经济影响实例，但未披露重大负向间接经济影响实例。","[""重大负向间接经济影响实例""]","product_method_adjudication","product_method_owner","envision-result-v1.1"
"GRI 303-3-d","applicable","partially_disclosed","[25,63]","partially_valid","报告披露了水风险分类和数据背景，但取水量数据的完整测量、估算或编制方法未充分说明。","[""取水量数据的测量、估算或编制方法""]","product_method_adjudication","product_method_owner","envision-result-v1.1"
"GRI 303-4-e","applicable","partially_disclosed","[22,25,63]","partially_valid","报告披露了排水分类、处理安排和数据，但数据编制方法及关键假设不完整。","[""排水数据编制方法"",""关键假设""]","product_method_adjudication","product_method_owner","envision-result-v1.1"
"GRI 303-5-d","applicable","partially_disclosed","[25,63]","partially_valid","报告中的取水、排水和耗水数据可相互核对并有背景说明，但数据来源和测量方法未完整披露。","[""耗水数据来源"",""测量或估算方法""]","product_method_adjudication","product_method_owner","envision-result-v1.1"
"GRI 305-2-c","undetermined","unknown","[]","none","该要求仅在相关气体数据可得时适用，公开报告未说明数据是否可得。","[""相关气体数据可得性的企业确认""]","requires_company_confirmation","product_method_owner","envision-result-v1.1"
"GRI 305-3-b","undetermined","unknown","[]","none","该要求仅在相关气体数据可得时适用，公开报告未说明数据是否可得。","[""相关气体数据可得性的企业确认""]","requires_company_confirmation","product_method_owner","envision-result-v1.1"
"GRI 306-3-b","applicable","unknown","[]","none","一般数字化报告和证据上传流程不能直接证明废弃物数据的专门编制方法。","[""废弃物产生量数据的专门编制方法""]","product_method_adjudication","product_method_owner","envision-result-v1.1"
"GRI 306-4-e","applicable","unknown","[]","none","一般数字化流程和回收数据不能直接证明废弃物转移数据在运营层面的测量方法和假设。","[""废弃物转移数据的测量方法"",""运营层面的关键假设""]","product_method_adjudication","product_method_owner","envision-result-v1.1"
"GRI 403-9-d","applicable","disclosed","[41]","valid","第41页直接披露了消除、替代、工程控制、行政管理和个体防护等控制层级行动。","[]","product_method_adjudication","product_method_owner","envision-result-v1.1"
"GRI 403-9-e","applicable","disclosed","[67]","valid","第67页明确以百万工时口径披露 TRIR 和 LTIR，直接给出计算基数。","[]","product_method_adjudication","product_method_owner","envision-result-v1.1"
"GRI 414-1-a","applicable","disclosed","[67]","valid","第67页披露采用社会评价维度筛选的新供应商比例为100%，证据与披露结论一致。","[]","product_method_adjudication","product_method_owner","envision-result-v1.1"
