compilation_requirement_id,target_requirement_ids,facet,missing_item_template,guardrail_effect
GRI 201-1-2.1,"[""GRI 201-1-a"", ""GRI 201-1-a-i"", ""GRI 201-1-a-ii"", ""GRI 201-1-a-iii"", ""GRI 201-1-b""]","[""requires_source_basis"", ""requires_applicability_check""]","[""EVG&D source basis from audited financial/P&L statement or internally audited management accounts"", ""applicability of EVG&D source basis""]","[""EVG&D data should not be marked disclosed when source basis is absent; applicability check only applies to if-applicable language""]"
GRI 201-2-2.2,"[""GRI 201-2-a"", ""GRI 201-2-a-iii"", ""GRI 201-2-a-v""]","[""requires_unavailable_data_plan"", ""requires_applicability_check""]","[""plans and timeline when financial implication or cost calculation system is unavailable"", ""applicability of no-system fallback""]","[""when no calculation system exists, require plans and timeline instead of a generic method guardrail""]"
GRI 201-4-2.5,"[""GRI 201-4-a"", ""GRI 201-4-a-i"", ""GRI 201-4-a-ii"", ""GRI 201-4-a-iii"", ""GRI 201-4-a-iv"", ""GRI 201-4-a-v"", ""GRI 201-4-a-vi"", ""GRI 201-4-a-vii"", ""GRI 201-4-a-viii"", ""GRI 201-4-b""]","[""requires_monetary_amount"", ""requires_accounting_basis""]","[""monetary value of government financial assistance"", ""GAAP or consistent accounting basis""]","[""do not mark financial assistance disclosed when monetary value or accounting basis is missing""]"
GRI 202-2-2.2,"[""GRI 202-2-a""]","[""requires_percentage"", ""requires_full_time_employee_denominator""]","[""percentage calculated using full-time employee data""]","[""local senior management percentage must use full-time employee denominator""]"
GRI 207-4-2.1,"[""GRI 207-4-a"", ""GRI 207-4-b"", ""GRI 207-4-b-i"", ""GRI 207-4-b-ii"", ""GRI 207-4-b-iii"", ""GRI 207-4-b-iv"", ""GRI 207-4-b-v"", ""GRI 207-4-b-vi"", ""GRI 207-4-b-vii"", ""GRI 207-4-b-viii"", ""GRI 207-4-b-ix"", ""GRI 207-4-b-x"", ""GRI 207-4-c""]","[""requires_source_basis"", ""requires_reporting_period_alignment"", ""requires_fallback_period_context""]","[""audited consolidated financial statement/public record source basis"", ""period covered by the most recent audited statements or permitted fallback period""]","[""country-by-country data period must align with audited consolidated statements or permitted fallback period""]"
GRI 207-4-2.2.1,"[""GRI 207-4-b-iv"", ""GRI 207-4-b-vi"", ""GRI 207-4-b-vii"", ""GRI 207-4-b-viii""]","[""requires_reconciliation"", ""requires_difference_explanation""]","[""reconciliation to audited consolidated statements for selected fields"", ""explanation for reconciliation differences""]","[""reconciliation guardrail applies only to selected financial fields, not unrelated country-by-country leaves""]"
GRI 207-4-2.2.2,"[""GRI 207-4-b-ix""]","[""requires_exclusion_scope"", ""requires_reporting_period_alignment""]","[""exclude deferred corporate income tax and uncertain tax position provisions"", ""current tax accrued for reported period""]","[""current tax accrued must exclude deferred tax and uncertain-tax-position provisions""]"
GRI 207-4-2.2.3,"[""GRI 207-4-a"", ""GRI 207-4-b"", ""GRI 207-4-b-i"", ""GRI 207-4-b-ii"", ""GRI 207-4-b-iii"", ""GRI 207-4-b-iv"", ""GRI 207-4-b-v"", ""GRI 207-4-b-vi"", ""GRI 207-4-b-vii"", ""GRI 207-4-b-viii"", ""GRI 207-4-b-ix"", ""GRI 207-4-b-x""]","[""requires_separate_reporting"", ""requires_tax_jurisdiction_boundary""]","[""stateless entity reported separately"", ""tax jurisdiction boundary""]","[""stateless entities require separate reporting and should not be folded into ordinary jurisdiction rows""]"
GRI 301-2-2.2.1,"[""GRI 301-2-a""]","[""requires_denominator_basis""]","[""total material weight or volume used as denominator consistent with 301-1""]","[""block recycled-input percentage when denominator basis is absent""]"
GRI 301-2-2.2.2,"[""GRI 301-2-a""]","[""requires_percentage"", ""requires_formula""]","[""recycled input material percentage formula""]","[""recycled input disclosure requires formula-based percentage""]"
GRI 301-3-2.4.1,"[""GRI 301-3-a""]","[""requires_exclusion_scope""]","[""exclude rejects and recalls of products""]","[""reclaimed product percentage should exclude rejects and recalls""]"
GRI 301-3-2.4.2,"[""GRI 301-3-a""]","[""requires_percentage"", ""requires_product_category_breakdown"", ""requires_formula""]","[""percentage of reclaimed products and packaging by product category""]","[""formula governs reclaimed product and packaging percentage leaf only""]"
